       0Popstan
01     1Artesia                                           
04021263Locality 126
04021293Locality 129
04021403Locality 140
04021523Locality 152
04021553Locality 155
04021803Locality 180
04021833Locality 183
04021913Locality 191
04022023Locality 202
04022053Locality 205
04022943Locality 294
0403   2Koronga                                           
04030013Locality 1
04030053Locality 5
04030063Locality 6
04030123Locality 12
04030223Locality 22
04030263Locality 26
04030273Locality 27
04030323Locality 32
04030403Locality 40
04030503Locality 50
04030523Locality 52
04030603Locality 60
04030613Locality 61
04030643Locality 64
04030693Locality 69
04030703Locality 70
04030733Locality 73
04030823Locality 82
04030843Locality 84
04030883Locality 88
04030903Locality 90
04030943Locality 94
04030963Locality 96
04030973Locality 97
04031003Locality 100
04031053Locality 105
04031123Locality 112
04031183Locality 118
04031203Locality 120
04031233Locality 123
04031243Locality 124
04031273Locality 127
04031293Locality 129
04031383Locality 138
04031503Locality 150
04031603Locality 160
04031663Locality 166
04031703Locality 170
04031813Locality 181
04031863Locality 186
04031873Locality 187
04031943Locality 194
04031963Locality 196
04031983Locality 198
04032003Locality 200
04032053Locality 205
04032073Locality 207
04032093Locality 209
0404   2Makasar                                           
04040023Locality 2
04040063Locality 6
04040073Locality 7
04040133Locality 13
04040233Locality 23
04040253Locality 25
04040273Locality 27
04040283Locality 28
04040413Locality 41
04040473Locality 47
04040513Locality 51
04040613Locality 61
04040623Locality 62
04040653Locality 65
04040663Locality 66
04040703Locality 70
04040713Locality 71
04040833Locality 83
04040853Locality 85
04040893Locality 89
04040903Locality 90
04040953Locality 95
04040973Locality 97
04040983Locality 98
04041013Locality 101
04041063Locality 106
04041193Locality 119
04041213Locality 121
04041233Locality 123
04041253Locality 125
04041283Locality 128
04041303Locality 130
04041393Locality 139
04041513Locality 151
04041613Locality 161
04041673Locality 167
04041823Locality 182
04041903Locality 190
04041953Locality 195
04041973Locality 197
04042013Locality 201
04042063Locality 206
04042933Locality 293
0405   2Makemi                                            
04050043Locality 4
04050073Locality 7
04050093Locality 9
04050103Locality 10
04050113Locality 11
04050233Locality 23
04050253Locality 25
04050303Locality 30
04050483Locality 48
04050503Locality 50
04050543Locality 54
04050583Locality 58
04050593Locality 59
04050623Locality 62
04050663Locality 66
04050673Locality 67
04050703Locality 70
04050713Locality 71
04050723Locality 72
04050733Locality 73
04050743Locality 74
04050823Locality 82
04050833Locality 83
04050853Locality 85
04050873Locality 87
04050883Locality 88
04050893Locality 89
04050913Locality 91
04050923Locality 92
04050933Locality 93
04050943Locality 94
04050953Locality 95
04050983Locality 98
04051003Locality 100
04051033Locality 103
04051043Locality 104
04051073Locality 107
04051083Locality 108
04051103Locality 110
04051183Locality 118
04051213Locality 121
04051223Locality 122
04051243Locality 124
04051253Locality 125
04051263Locality 126
04051273Locality 127
04051313Locality 131
04051363Locality 136
04051483Locality 148
04051583Locality 158
04051683Locality 168
04051713Locality 171
04051733Locality 173
04051793Locality 179
04051843Locality 184
04051853Locality 185
04051943Locality 194
04051963Locality 196
04051993Locality 199
04052033Locality 203
04052073Locality 207
04052083Locality 208
04052903Locality 290
04052913Locality 291
0406   2Malang                                            
04060013Locality 1
04060053Locality 5
04060093Locality 9
04060103Locality 10
04060163Locality 16
04060203Locality 20
04060443Locality 44
04060473Locality 47
04060593Locality 59
04060643Locality 64
04060653Locality 65
04060793Locality 79
04060813Locality 81
04060863Locality 86
04060923Locality 92
04060933Locality 93
04061043Locality 104
04061093Locality 109
04061163Locality 116
04061233Locality 123
04061413Locality 141
04061543Locality 154
04061563Locality 156
04061823Locality 182
04061933Locality 193
0407   2Mexico                                            
04070023Locality 2
04070033Locality 3
04070103Locality 10
04070213Locality 21
04070233Locality 23
04070453Locality 45
04070603Locality 60
04070653Locality 65
04070743Locality 74
04070823Locality 82
04070873Locality 87
04070943Locality 94
04071053Locality 105
04071173Locality 117
04071243Locality 124
04071423Locality 142
04071573Locality 157
04071833Locality 183
0408   2Pasco                                             
04080043Locality 4
04080083Locality 8
04080093Locality 9
04080153Locality 15
04080293Locality 29
04080303Locality 30
04080433Locality 43
04080493Locality 49
04080533Locality 53
04080583Locality 58
04080633Locality 63
04080643Locality 64
04080683Locality 68
04080723Locality 72
04080803Locality 80
04080853Locality 85
04080873Locality 87
04080913Locality 91
04080923Locality 92
04080943Locality 94
04080973Locality 97
04081033Locality 103
04081083Locality 108
04081153Locality 115
04081213Locality 121
04081303Locality 130
04081413Locality 141
04081533Locality 153
04081813Locality 181
04081923Locality 192
0409   2Suddie                                            
04090053Locality 5
04090083Locality 8
04090113Locality 11
04090123Locality 12
04090213Locality 21
04090243Locality 24
04090253Locality 25
04090263Locality 26
04090313Locality 31
04090393Locality 39
04090493Locality 49
04090513Locality 51
04090593Locality 59
04090603Locality 60
04090633Locality 63
04090683Locality 68
04090693Locality 69
04090713Locality 71
04090723Locality 72
04090743Locality 74
04090833Locality 83
04090843Locality 84
04090863Locality 86
04090893Locality 89
04090903Locality 90
04090933Locality 93
04090953Locality 95
04090963Locality 96
04090993Locality 99
04091043Locality 104
04091053Locality 105
04091083Locality 108
04091093Locality 109
04091113Locality 111
04091193Locality 119
04091223Locality 122
04091233Locality 123
04091253Locality 125
04091263Locality 126
04091283Locality 128
04091323Locality 132
04091373Locality 137
04091493Locality 149
04091593Locality 159
04091693Locality 169
04091723Locality 172
04091803Locality 180
04091853Locality 185
04091863Locality 186
04091933Locality 193
04091953Locality 195
04091973Locality 197
04092003Locality 200
04092043Locality 204
04092063Locality 206
04092893Locality 289
04092923Locality 292
05     1Girda                                             
0501   2Brazilia                                          
05010093Locality 9
05010133Locality 13
05010153Locality 15
05010183Locality 18
05010383Locality 38
05010523Locality 52
05010553Locality 55
05010583Locality 58
05010613Locality 61
05010663Locality 66
05010723Locality 72
05010753Locality 75
05010773Locality 77
05010903Locality 90
05010963Locality 96
05011003Locality 100
05011023Locality 102
05011033Locality 103
05011093Locality 109
05011133Locality 113
05011163Locality 116
05011183Locality 118
05011283Locality 128
05011313Locality 131
05011473Locality 147
05011603Locality 160
05011633Locality 163
05011873Locality 187
05012053Locality 205
05012143Locality 214
0502   2Fiji                                              
05020043Locality 4
05020053Locality 5
05020073Locality 7
05020083Locality 8
05020113Locality 11
05020133Locality 13
05020163Locality 16
05020313Locality 31
05020353Locality 35
05020363Locality 36
05020503Locality 50
05020563Locality 56
05020593Locality 59
05020703Locality 70
05020723Locality 72
05020753Locality 75
05020783Locality 78
05020923Locality 92
05020943Locality 94
05020983Locality 98
05021003Locality 100
05021013Locality 101
05021043Locality 104
05021073Locality 107
05021113Locality 111
05021143Locality 114
05021163Locality 116
05021243Locality 124
05021263Locality 126
05021343Locality 134
05021363Locality 136
05021383Locality 138
05021453Locality 145
05021583Locality 158
05021743Locality 174
05021803Locality 180
05022033Locality 203
05022983Locality 298
0503   2Kabala                                            
05030033Locality 3
05030053Locality 5
05030113Locality 11
05030203Locality 20
05030313Locality 31
05030363Locality 36
05030903Locality 90
05030963Locality 96
05031113Locality 111
05031553Locality 155
0504   2Kle                                               
05040023Locality 2
05040033Locality 3
05040073Locality 7
05040153Locality 15
05040173Locality 17
05040273Locality 27
05040323Locality 32
05040683Locality 68
05040773Locality 77
05040793Locality 79
05040923Locality 92
05040953Locality 95
05041043Locality 104
05041053Locality 105
05041113Locality 111
05041133Locality 113
05041153Locality 115
05041273Locality 127
05041293Locality 129
05041333Locality 133
05041493Locality 149
05041893Locality 189
05042073Locality 207
05042093Locality 209
05042953Locality 295
0505   2Lagos                                             
05050013Locality 1
05050063Locality 6
05050143Locality 14
05050163Locality 16
05050193Locality 19
05050313Locality 31
05050333Locality 33
05050533Locality 53
05050563Locality 56
05050673Locality 67
05050763Locality 76
05050783Locality 78
05050913Locality 91
05050943Locality 94
05051013Locality 101
05051033Locality 103
05051043Locality 104
05051103Locality 110
05051143Locality 114
05051193Locality 119
05051263Locality 126
05051323Locality 132
05051483Locality 148
05051883Locality 188
05052063Locality 206
05052083Locality 208
05052153Locality 215
0506   2Maines                                            
05060023Locality 2
05060043Locality 4
05060103Locality 10
05060193Locality 19
05060303Locality 30
05060353Locality 35
05060803Locality 80
05060893Locality 89
05060953Locality 95
05061073Locality 107
05061103Locality 110
05061923Locality 192
05062103Locality 210
05062113Locality 211
0507   2Niger                                             
05070043Locality 4
05070213Locality 21
05070323Locality 32
05070673Locality 67
05071563Locality 156
0508   2Pakota                                            
05080023Locality 2
05080033Locality 3
05080053Locality 5
05080063Locality 6
05080123Locality 12
05080143Locality 14
05080223Locality 22
05080293Locality 29
05080333Locality 33
05080343Locality 34
05080373Locality 37
05080393Locality 39
05080483Locality 48
05080543Locality 54
05080573Locality 57
05080593Locality 59
05080683Locality 68
05080703Locality 70
05080763Locality 76
05080803Locality 80
05080913Locality 91
05080923Locality 92
05080963Locality 96
05080983Locality 98
05080993Locality 99
05081023Locality 102
05081093Locality 109
05081123Locality 112
05081143Locality 114
05081293Locality 129
05081313Locality 131
05081323Locality 132
05081343Locality 134
05081363Locality 136
05081393Locality 139
05081433Locality 143
05081573Locality 157
05081753Locality 175
05081773Locality 177
05081783Locality 178
05081933Locality 193
05082013Locality 201
05082113Locality 211
05082123Locality 212
05082963Locality 296
0509   2Peru                                              
05090013Locality 1
05090083Locality 8
05090123Locality 12
05090143Locality 14
05090173Locality 17
05090323Locality 32
05090373Locality 37
05090513Locality 51
05090573Locality 57
05090603Locality 60
05090713Locality 71
05090763Locality 76
05090793Locality 79
05090933Locality 93
05090953Locality 95
05090993Locality 99
05091013Locality 101
05091023Locality 102
05091053Locality 105
05091083Locality 108
05091123Locality 112
05091153Locality 115
05091173Locality 117
05091253Locality 125
05091273Locality 127
05091353Locality 135
05091373Locality 137
05091463Locality 146
05091593Locality 159
05091623Locality 162
05092043Locality 204
05092133Locality 213
05092993Locality 299
0510   2Rio Grande                                        
05100033Locality 3
05100043Locality 4
05100063Locality 6
05100073Locality 7
05100153Locality 15
05100233Locality 23
05100303Locality 30
05100343Locality 34
05100353Locality 35
05100383Locality 38
05100493Locality 49
05100553Locality 55
05100583Locality 58
05100603Locality 60
05100693Locality 69
05100713Locality 71
05100743Locality 74
05100773Locality 77
05100813Locality 81
05100903Locality 90
05100913Locality 91
05100933Locality 93
05100973Locality 97
05100993Locality 99
05101003Locality 100
05101033Locality 103
05101063Locality 106
05101103Locality 110
05101133Locality 113
05101153Locality 115
05101233Locality 123
05101303Locality 130
05101333Locality 133
05101353Locality 135
05101373Locality 137
05101443Locality 144
05101763Locality 176
05101793Locality 179
05102023Locality 202
05102123Locality 212
05102133Locality 213
05102973Locality 297
0511   2Taiwan                                            
05110013Locality 1
05110043Locality 4
05110083Locality 8
05110133Locality 13
05110163Locality 16
05110173Locality 17
05110183Locality 18
05110283Locality 28
05110333Locality 33
05110663Locality 66
05110693Locality 69
05110783Locality 78
05110803Locality 80
05110933Locality 93
05111053Locality 105
05111123Locality 112
05111283Locality 128
05111903Locality 190
05112103Locality 210
0512   2Tewa                                              
05120013Locality 1
05120033Locality 3
05120093Locality 9
05120173Locality 17
05120183Locality 18
05120193Locality 19
05120293Locality 29
05120343Locality 34
05120473Locality 47
05120673Locality 67
05120793Locality 79
05120883Locality 88
05120943Locality 94
05121063Locality 106
05121303Locality 130
05121913Locality 191
06     1Hali                                              
0601   2Bilboa                                            
06010023Locality 2
06010153Locality 15
06010193Locality 19
06010373Locality 37
06010393Locality 39
06010413Locality 41
06010433Locality 43
06010633Locality 63
06010823Locality 82
06010953Locality 95
06011093Locality 109
06011113Locality 111
06011183Locality 118
06011193Locality 119
06011213Locality 121
06011433Locality 143
06011553Locality 155
06011823Locality 182
06011963Locality 196
06012103Locality 210
06012173Locality 217
0602   2Kerala                                            
06020023Locality 2
06020043Locality 4
06020063Locality 6
06020073Locality 7
06020093Locality 9
06020103Locality 10
06020113Locality 11
06020123Locality 12
06020143Locality 14
06020173Locality 17
06020213Locality 21
06020223Locality 22
06020233Locality 23
06020243Locality 24
06020273Locality 27
06020353Locality 35
06020393Locality 39
06020403Locality 40
06020423Locality 42
06020443Locality 44
06020553Locality 55
06020573Locality 57
06020653Locality 65
06020663Locality 66
06020743Locality 74
06020763Locality 76
06020773Locality 77
06020843Locality 84
06020853Locality 85
06020983Locality 98
06021003Locality 100
06021033Locality 103
06021063Locality 106
06021073Locality 107
06021093Locality 109
06021123Locality 112
06021143Locality 114
06021173Locality 117
06021213Locality 121
06021243Locality 124
06021323Locality 132
06021333Locality 133
06021393Locality 139
06021513Locality 151
06021853Locality 185
06021983Locality 198
06022123Locality 212
06022173Locality 217
06022203Locality 220
0603   2Reme                                              
06030093Locality 9
06030203Locality 20
06030243Locality 24
06030383Locality 38
06030423Locality 42
06030623Locality 62
06030823Locality 82
06030963Locality 96
06031003Locality 100
06031103Locality 110
06031223Locality 122
06031293Locality 129
06031313Locality 131
06031833Locality 183
06032183Locality 218
0604   2Sunda                                             
06040013Locality 1
06040083Locality 8
06040143Locality 14
06040183Locality 18
06040363Locality 36
06040383Locality 38
06040403Locality 40
06040423Locality 42
06040623Locality 62
06040743Locality 74
06040823Locality 82
06040943Locality 94
06040983Locality 98
06041083Locality 108
06041103Locality 110
06041173Locality 117
06041183Locality 118
06041203Locality 120
06041423Locality 142
06041543Locality 154
06041623Locality 162
06041813Locality 181
06041953Locality 195
06042093Locality 209
06042153Locality 215
06042163Locality 216
06043013Locality 301
0605   2Tamale                                            
06050033Locality 3
06050053Locality 5
06050073Locality 7
06050083Locality 8
06050113Locality 11
06050123Locality 12
06050133Locality 13
06050153Locality 15
06050223Locality 22
06050233Locality 23
06050243Locality 24
06050363Locality 36
06050403Locality 40
06050413Locality 41
06050453Locality 45
06050653Locality 65
06050663Locality 66
06050753Locality 75
06050773Locality 77
06050853Locality 85
06050863Locality 86
06050993Locality 99
06051013Locality 101
06051043Locality 104
06051073Locality 107
06051083Locality 108
06051133Locality 113
06051153Locality 115
06051183Locality 118
06051223Locality 122
06051253Locality 125
06051333Locality 133
06051343Locality 134
06051403Locality 140
06051523Locality 152
06051863Locality 186
06051993Locality 199
06052133Locality 213
06052183Locality 218
06053023Locality 302
0606   2Teju                                              
06060103Locality 10
06060213Locality 21
06060253Locality 25
06060633Locality 63
06060833Locality 83
06061013Locality 101
06061303Locality 130
06061323Locality 132
0607   2Welshy                                            
06070013Locality 1
06070033Locality 3
06070053Locality 5
06070063Locality 6
06070083Locality 8
06070093Locality 9
06070103Locality 10
06070113Locality 11
06070133Locality 13
06070163Locality 16
06070183Locality 18
06070203Locality 20
06070213Locality 21
06070223Locality 22
06070233Locality 23
06070253Locality 25
06070263Locality 26
06070343Locality 34
06070383Locality 38
06070393Locality 39
06070413Locality 41
06070433Locality 43
06070543Locality 54
06070563Locality 56
06070583Locality 58
06070643Locality 64
06070733Locality 73
06070753Locality 75
06070763Locality 76
06070783Locality 78
06070833Locality 83
06070843Locality 84
06070973Locality 97
06070993Locality 99
06071023Locality 102
06071053Locality 105
06071063Locality 106
06071083Locality 108
06071103Locality 110
06071113Locality 111
06071133Locality 113
06071163Locality 116
06071203Locality 120
06071233Locality 123
06071313Locality 131
06071383Locality 138
06071843Locality 184
06071973Locality 197
06072113Locality 211
06072163Locality 216
06072193Locality 219
0608   2Zemora                                            
06080043Locality 4
06080073Locality 7
06080123Locality 12
06080133Locality 13
06080143Locality 14
06080253Locality 25
06080283Locality 28
06080373Locality 37
06080613Locality 61
06080673Locality 67
06080733Locality 73
06080783Locality 78
06080813Locality 81
06080853Locality 85
06080873Locality 87
06080973Locality 97
06081023Locality 102
06081063Locality 106
06081093Locality 109
06081163Locality 116
06081173Locality 117
06081193Locality 119
06081343Locality 134
06081353Locality 135
06081363Locality 136
06081413Locality 141
06081533Locality 153
06081613Locality 161
06081943Locality 194
06082083Locality 208
06082143Locality 214
06082193Locality 219
06083003Locality 300
07     1Kerac                                             
0701   2Amarillo                                          
07010063Locality 6
07010073Locality 7
07010093Locality 9
07010163Locality 16
07010183Locality 18
07010223Locality 22
07010233Locality 23
07010283Locality 28
07010323Locality 32
07010483Locality 48
07010493Locality 49
07010613Locality 61
07010703Locality 70
07010743Locality 74
07010833Locality 83
07010903Locality 90
07011073Locality 107
07011083Locality 108
07011193Locality 119
07011243Locality 124
07011303Locality 130
07011463Locality 146
07011933Locality 193
07012043Locality 204
07013053Locality 305
0702   2Bo                                                
07020073Locality 7
07020083Locality 8
07020103Locality 10
07020173Locality 17
07020243Locality 24
07020293Locality 29
07020423Locality 42
07020493Locality 49
07020623Locality 62
07020713Locality 71
07020843Locality 84
07020913Locality 91
07021053Locality 105
07021083Locality 108
07021093Locality 109
07021203Locality 120
07021223Locality 122
07021253Locality 125
07021313Locality 131
07021473Locality 147
07021603Locality 160
07022053Locality 205
07022223Locality 222
07023063Locality 306
0703   2Cliza                                             
07030023Locality 2
07030123Locality 12
07030143Locality 14
07030173Locality 17
07030183Locality 18
07030193Locality 19
07030203Locality 20
07030243Locality 24
07030283Locality 28
07030423Locality 42
07030453Locality 45
07030473Locality 47
07030493Locality 49
07030683Locality 68
07030703Locality 70
07030793Locality 79
07030903Locality 90
07030913Locality 91
07031013Locality 101
07031033Locality 103
07031043Locality 104
07031103Locality 110
07031113Locality 111
07031123Locality 112
07031153Locality 115
07031163Locality 116
07031203Locality 120
07031263Locality 126
07031273Locality 127
07031283Locality 128
07031363Locality 136
07031413Locality 141
07031573Locality 157
07031893Locality 189
07032003Locality 200
07032233Locality 223
07032263Locality 226
0704   2Huara                                             
07040033Locality 3
07040063Locality 6
07040133Locality 13
07040153Locality 15
07040183Locality 18
07040193Locality 19
07040203Locality 20
07040253Locality 25
07040293Locality 29
07040463Locality 46
07040483Locality 48
07040503Locality 50
07040693Locality 69
07040713Locality 71
07040803Locality 80
07040923Locality 92
07041043Locality 104
07041053Locality 105
07041113Locality 111
07041123Locality 112
07041133Locality 113
07041163Locality 116
07041173Locality 117
07041213Locality 121
07041273Locality 127
07041283Locality 128
07041293Locality 129
07041373Locality 137
07041423Locality 142
07041903Locality 190
07042013Locality 201
07042243Locality 224
0705   2Lahore                                            
07050043Locality 4
07050053Locality 5
07050063Locality 6
07050073Locality 7
07050143Locality 14
07050153Locality 15
07050163Locality 16
07050203Locality 20
07050213Locality 21
07050263Locality 26
07050303Locality 30
07050403Locality 40
07050463Locality 46
07050473Locality 47
07050593Locality 59
07050723Locality 72
07050813Locality 81
07050883Locality 88
07051053Locality 105
07051063Locality 106
07051133Locality 113
07051143Locality 114
07051173Locality 117
07051223Locality 122
07051283Locality 128
07051383Locality 138
07051443Locality 144
07051583Locality 158
07051913Locality 191
07052023Locality 202
07052203Locality 220
07052213Locality 221
07053033Locality 303
0706   2Luso                                              
07060313Locality 31
07060453Locality 45
07060643Locality 64
07060813Locality 81
07060873Locality 87
07060883Locality 88
07060943Locality 94
07061023Locality 102
07061083Locality 108
07061243Locality 124
07061253Locality 125
07061503Locality 150
07062163Locality 216
07062243Locality 224
0707   2Manta                                             
07070053Locality 5
07070063Locality 6
07070083Locality 8
07070153Locality 15
07070173Locality 17
07070213Locality 21
07070223Locality 22
07070273Locality 27
07070313Locality 31
07070473Locality 47
07070483Locality 48
07070603Locality 60
07070733Locality 73
07070823Locality 82
07070893Locality 89
07071063Locality 106
07071073Locality 107
07071143Locality 114
07071153Locality 115
07071183Locality 118
07071233Locality 123
07071293Locality 129
07071393Locality 139
07071453Locality 145
07071593Locality 159
07071923Locality 192
07072033Locality 203
07072213Locality 221
07073043Locality 304
0708   2Mocoa                                             
07080093Locality 9
07080113Locality 11
07080183Locality 18
07080253Locality 25
07080293Locality 29
07080303Locality 30
07080433Locality 43
07080503Locality 50
07080633Locality 63
07080793Locality 79
07080853Locality 85
07080863Locality 86
07080923Locality 92
07081003Locality 100
07081063Locality 106
07081093Locality 109
07081233Locality 123
07081323Locality 132
07081483Locality 148
07082063Locality 206
07082143Locality 214
07082233Locality 223
0709   2Mulie                                             
07090343Locality 34
07090843Locality 84
07091053Locality 105
07092193Locality 219
0710   2Nepal                                             
07100163Locality 16
07100263Locality 26
07100323Locality 32
07100463Locality 46
07100683Locality 68
07100823Locality 82
07100883Locality 88
07101033Locality 103
07101253Locality 125
07101873Locality 187
07102173Locality 217
0711   2Nore                                              
07110103Locality 10
07110303Locality 30
07110313Locality 31
07110443Locality 44
07110513Locality 51
07110803Locality 80
07110863Locality 86
07110873Locality 87
07110933Locality 93
07111013Locality 101
07111073Locality 107
07111123Locality 112
07111233Locality 123
07111243Locality 124
07111493Locality 149
07112153Locality 215
0712   2Opole                                             
07120333Locality 33
07120473Locality 47
07120833Locality 83
07120893Locality 89
07121043Locality 104
07121133Locality 113
07121263Locality 126
07122183Locality 218
0713   2Ovan                                              
07130013Locality 1
07130113Locality 11
07130133Locality 13
07130163Locality 16
07130173Locality 17
07130193Locality 19
07130213Locality 21
07130273Locality 27
07130323Locality 32
07130353Locality 35
07130413Locality 41
07130433Locality 43
07130443Locality 44
07130463Locality 46
07130483Locality 48
07130503Locality 50
07130523Locality 52
07130673Locality 67
07130693Locality 69
07130853Locality 85
07130893Locality 89
07130903Locality 90
07131033Locality 103
07131063Locality 106
07131093Locality 109
07131143Locality 114
07131153Locality 115
07131163Locality 116
07131193Locality 119
07131263Locality 126
07131273Locality 127
07131403Locality 140
07131563Locality 156
07131883Locality 188
07132203Locality 220
07132223Locality 222
07132253Locality 225
07132273Locality 227
08     1Lacuna                                            
0801   2Accra                                             
08010083Locality 8
08010103Locality 10
08010113Locality 11
08010193Locality 19
08010203Locality 20
08010213Locality 21
08010223Locality 22
08010253Locality 25
08010333Locality 33
08010463Locality 46
08010503Locality 50
08010513Locality 51
08010553Locality 55
08010883Locality 88
08010943Locality 94
08010983Locality 98
08011113Locality 111
08011193Locality 119
08011213Locality 121
08011243Locality 124
08011263Locality 126
08011323Locality 132
08011353Locality 135
08011443Locality 144
08011513Locality 151
08011613Locality 161
08012223Locality 222
08012233Locality 223
08013093Locality 309
0802   2Galtee                                            
08020023Locality 2
08020153Locality 15
08020283Locality 28
08020383Locality 38
08020513Locality 51
08020533Locality 53
08020683Locality 68
08020773Locality 77
08020873Locality 87
08021103Locality 110
08021303Locality 130
08021343Locality 134
08022083Locality 208
0803   2Iran                                              
08030123Locality 12
08030133Locality 13
08030223Locality 22
08030243Locality 24
08030343Locality 34
08030483Locality 48
08030523Locality 52
08030533Locality 53
08030723Locality 72
08030863Locality 86
08030873Locality 87
08030963Locality 96
08031083Locality 108
08031123Locality 112
08031133Locality 113
08031193Locality 119
08031213Locality 121
08031273Locality 127
08031283Locality 128
08031303Locality 130
08031523Locality 152
08031633Locality 163
08031943Locality 194
08032283Locality 228
08033083Locality 308
0804   2Kuwait                                            
08040323Locality 32
08040543Locality 54
08040933Locality 93
08040973Locality 97
0805   2Libya                                             
08050123Locality 12
08050133Locality 13
08050143Locality 14
08050183Locality 18
08050233Locality 23
08050253Locality 25
08050353Locality 35
08050453Locality 45
08050543Locality 54
08050653Locality 65
08050733Locality 73
08050853Locality 85
08050873Locality 87
08051093Locality 109
08051133Locality 113
08051173Locality 117
08051203Locality 120
08051293Locality 129
08051313Locality 131
08051533Locality 153
08051643Locality 164
08051953Locality 195
08052293Locality 229
0806   2Mason                                             
08060233Locality 23
08060293Locality 29
08060393Locality 39
08060523Locality 52
08060543Locality 54
08060783Locality 78
08060953Locality 95
08061103Locality 110
08061313Locality 131
08062093Locality 209
0807   2Melinga                                           
08070133Locality 13
08070143Locality 14
08070193Locality 19
08070263Locality 26
08070363Locality 36
08070663Locality 66
08070743Locality 74
08070753Locality 75
08070883Locality 88
08071103Locality 110
08071143Locality 114
08071183Locality 118
08071213Locality 121
08071323Locality 132
08071433Locality 143
08071963Locality 196
08072303Locality 230
0808   2Oddur                                             
08080093Locality 9
08080123Locality 12
08080213Locality 21
08080233Locality 23
08080263Locality 26
08080333Locality 33
08080343Locality 34
08080473Locality 47
08080513Locality 51
08080523Locality 52
08080563Locality 56
08080863Locality 86
08080893Locality 89
08080953Locality 95
08081073Locality 107
08081123Locality 112
08081183Locality 118
08081203Locality 120
08081223Locality 122
08081273Locality 127
08081383Locality 138
08081453Locality 145
08081623Locality 162
08082213Locality 221
08082243Locality 224
08083073Locality 307
0809   2Sudan                                             
08090243Locality 24
08090313Locality 31
08090493Locality 49
08090533Locality 53
08090923Locality 92
08090963Locality 96
08092253Locality 225
0810   2Yendi                                             
08100013Locality 1
08100143Locality 14
08100153Locality 15
08100203Locality 20
08100273Locality 27
08100373Locality 37
08100673Locality 67
08100763Locality 76
08100863Locality 86
08100893Locality 89
08100913Locality 91
08101153Locality 115
08101293Locality 129
08101333Locality 133
08102073Locality 207
09     1Laya                                              
0901   2Chalna                                            
09010553Locality 55
09010693Locality 69
09011333Locality 133
09012253Locality 225
0902   2Hua                                               
09020373Locality 37
09020883Locality 88
09020973Locality 97
09020993Locality 99
09021253Locality 125
0903   2Jen-kia                                           
09030553Locality 55
09031163Locality 116
09031373Locality 137
0904   2Laurentia                                         
09040123Locality 12
09040223Locality 22
09040303Locality 30
09040353Locality 35
09040533Locality 53
09040903Locality 90
0905   2Madras                                            
09050163Locality 16
09050233Locality 23
09051113Locality 111
09051223Locality 122
09051303Locality 130
09051343Locality 134
0906   2Marzet                                            
09060023Locality 2
09060573Locality 57
0907   2Panama                                            
09070243Locality 24
0908   2Parika                                            
09080163Locality 16
09080933Locality 93
09081543Locality 154
09081653Locality 165
09082313Locality 231
0909   2Riga                                              
09090153Locality 15
09090403Locality 40
09090493Locality 49
09090793Locality 79
09091143Locality 114
09093103Locality 310
0910   2Tanzania                                          
09100033Locality 3
09100263Locality 26
09101143Locality 114
09102103Locality 210
09102263Locality 226
0911   2Yemen                                             
09110273Locality 27
09110373Locality 37
09110903Locality 90
09111463Locality 146
10     1Lira                                              
1001   2Adak                                              
10010313Locality 31
10010473Locality 47
10010883Locality 88
10011053Locality 105
1002   2Alause                                            
10020023Locality 2
10020033Locality 3
10020043Locality 4
10020063Locality 6
10020073Locality 7
10020183Locality 18
10020233Locality 23
10020273Locality 27
10020283Locality 28
10020303Locality 30
10020333Locality 33
10020343Locality 34
10020393Locality 39
10020463Locality 46
10020493Locality 49
10020513Locality 51
10020553Locality 55
10020583Locality 58
10020603Locality 60
10020623Locality 62
10020703Locality 70
10020913Locality 91
10020953Locality 95
10020973Locality 97
10021013Locality 101
10021073Locality 107
10021133Locality 113
10021173Locality 117
10021203Locality 120
10021233Locality 123
10021253Locality 125
10021293Locality 129
10021393Locality 139
10021403Locality 140
10021553Locality 155
10021583Locality 158
10021673Locality 167
10022283Locality 228
10022333Locality 233
10023143Locality 314
1003   2Algra                                             
10030203Locality 20
10030223Locality 22
10030313Locality 31
10030453Locality 45
10030583Locality 58
10030863Locality 86
10030893Locality 89
10031033Locality 103
10031373Locality 137
10032353Locality 235
1004   2Attu                                              
10040013Locality 1
10040023Locality 2
10040053Locality 5
10040073Locality 7
10040093Locality 9
10040153Locality 15
10040213Locality 21
10040263Locality 26
10040303Locality 30
10040313Locality 31
10040333Locality 33
10040363Locality 36
10040383Locality 38
10040423Locality 42
10040543Locality 54
10040563Locality 56
10040583Locality 58
10040633Locality 63
10040733Locality 73
10040943Locality 94
10040983Locality 98
10041003Locality 100
10041043Locality 104
10041153Locality 115
10041163Locality 116
10041173Locality 117
10041263Locality 126
10041283Locality 128
10041323Locality 132
10041403Locality 140
10041423Locality 142
10041433Locality 143
10041483Locality 148
10041613Locality 161
10041703Locality 170
10042313Locality 231
10042363Locality 236
1005   2Baguio                                            
10050043Locality 4
10050183Locality 18
10050203Locality 20
10050293Locality 29
10050433Locality 43
10050443Locality 44
10050603Locality 60
10050843Locality 84
10051013Locality 101
10051223Locality 122
10051233Locality 123
10051343Locality 134
10051353Locality 135
10051363Locality 136
10051543Locality 154
10052333Locality 233
